published_at,source,title,url,topics,finbert_label,finbert_score,sentiment_value
2026-01-01 00:08:45,AD HOC NEWS,Union Pacific Corp: How a 160-Year-Old Railroad Is Turning Into a Modern Freight Platform,https://www.ad-hoc-news.de/boerse/ueberblick/union-pacific-corp-how-a-160-year-old-railroad-is-turning-into-a-modern/68446182,"energy_transportation, technology, manufacturing, financial_markets",neutral,0.8992,0.0
2026-01-01 00:08:46,MSN,Unusual activity in Occidental Petroleum call options - a signal investors expect a dividend hike,http://www.msn.com/en-us/money/topstocks/unusual-activity-in-occidental-petroleum-call-options-a-signal-investors-expect-a-dividend-hike/ar-AA1TmKYr?apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1,financial_markets,negative,0.73,-1.0
2026-01-01 00:08:49,富途牛牛,"IShares MSCI EAFE ETF Options Spot-On: On December 31st, 107.52K Contracts Were Traded, With 1.38 Million Open Interest",https://news.futunn.com/en/post/66848170/ishares-msci-eafe-etf-options-spot-on-on-december-31st,financial_markets,neutral,0.9195,0.0
2026-01-01 00:08:49,Investing.com,APi Group issues stock dividend related to Series A preferred shares,https://m.investing.com/news/sec-filings/api-group-issues-stock-dividend-related-to-series-a-preferred-shares-93CH-4428351?ampMode=1,"earnings, financial_markets, mergers_and_acquisitions",neutral,0.9493,0.0
2026-01-01 00:08:51,富途牛牛,"ProShares UltraPro QQQ ETF Options Spot-On: On December 31st, 214.38K Contracts Were Traded, With 1.5 Million Open Interest",https://news.futunn.com/en/post/66848166/proshares-ultrapro-qqq-etf-options-spot-on-on-december-31st,financial_markets,neutral,0.9224,0.0
2026-01-01 00:08:53,01net,CACI to Deliver Secure Software-Defined Network Modernization Capabilities to the U.S. Space Force,https://www.01net.it/caci-to-deliver-secure-software-defined-network-modernization-capabilities-to-the-u-s-space-force/,technology,positive,0.7694,1.0
2026-01-01 00:08:58,MarketBeat,Fidelity D&D Bancorp (NASDAQ:FDBC) Stock Crosses Below Two Hundred Day Moving Average - Time to Sell?,https://www.marketbeat.com/instant-alerts/fidelity-dd-bancorp-nasdaqfdbc-stock-crosses-below-two-hundred-day-moving-average-time-to-sell-2026-01-01/,"financial_markets, earnings, finance",neutral,0.6389,0.0
2026-01-01 00:08:59,Finviz,Sunrun (RUN) Price Target Raised Amid 'Compelling' Partnership with NRG Energy,https://finviz.com/news/264844/sunrun-run-price-target-raised-amid-compelling-partnership-with-nrg-energy,"earnings, financial_markets, energy_transportation, finance",positive,0.9528,1.0
2026-01-01 00:08:59,The Globe and Mail,"Quantum Capital Dumps 61,000 Landstar Shares Worth $12.8 Million",https://www.theglobeandmail.com/investing/markets/stocks/CPRT/pressreleases/36841925/quantum-capital-dumps-61000-landstar-shares-worth-128-million/,"financial_markets, earnings, energy_transportation",negative,0.9131,-1.0
2026-01-01 00:09:03,富途牛牛,Does Taboola.com (NASDAQ:TBLA) Have A Healthy Balance Sheet?,https://news.futunn.com/en/post/66840480/does-taboolacom-nasdaq-tbla-have-a-healthy-balance-sheet,"earnings, finance",neutral,0.7384,0.0
2026-01-01 00:09:04,The Globe and Mail,Lake Street Reaffirms Their Buy Rating on The ONE Group Hospitality (STKS),https://www.theglobeandmail.com/investing/markets/stocks/STKS-Q/pressreleases/36840779/lake-street-reaffirms-their-buy-rating-on-the-one-group-hospitality-stks/,"earnings, financial_markets, finance, retail_wholesale",neutral,0.7308,0.0
2026-01-01 00:09:05,95.5 WSB,Atlanta-based Coca-Cola announces layoffs,https://www.wsbradio.com/news/local/atlanta-based-coca-cola-announces-layoffs/V5W3L72UPJD2RBHRBWE6NNK77Y/,"manufacturing, retail_wholesale, economy_macro",negative,0.9535,-1.0
2026-01-01 00:09:05,MarketBeat,"Sol-Gel Technologies (NASDAQ:SLGL) Major Shareholder Buys $944,649.03 in Stock",https://www.marketbeat.com/instant-alerts/sol-gel-technologies-nasdaqslgl-major-shareholder-buys-94464903-in-stock-2025-12-31/,"earnings, financial_markets, finance",neutral,0.9333,0.0
2026-01-01 00:09:06,The Globe and Mail,Delek Shares Surge 60% but One Fund Walked Away From a $15 Million Position,https://www.theglobeandmail.com/investing/markets/markets-news/Motley%20Fool/36847184/delek-shares-surge-60-but-one-fund-walked-away-from-a-15-million-position/,"earnings, financial_markets, energy_transportation",negative,0.8868,-1.0
2026-01-01 00:09:06,Stock Titan,New server design cuts data center cabling by 93% and space use by 50%,https://www.stocktitan.net/news/SMCI/supermicro-unveils-high-density-liquid-cooled-and-air-cooled-6u-jrv4fykm7bfo.html,"technology, manufacturing",negative,0.6831,-1.0
2026-01-01 00:09:06,MarketBeat,"Sol-Gel Technologies (NASDAQ:SLGL) Major Shareholder Opaleye Management Inc. Purchases 35,169 Shares of Stock",https://www.marketbeat.com/instant-alerts/sol-gel-technologies-nasdaqslgl-major-shareholder-opaleye-management-inc-purchases-35169-shares-of-stock-2025-12-31/,"financial_markets, earnings, life_sciences",neutral,0.9449,0.0
2026-01-01 00:09:06,Investing.com South Africa,Olympic Steel president and COO Greiff sells $280k in stock By Investing.com,https://za.investing.com/news/insider-trading-news/olympic-steel-president-and-coo-greiff-sells-280k-in-stock-93CH-4044242,"earnings, financial_markets, finance",neutral,0.952,0.0
2026-01-01 00:09:09,The Globe and Mail,"Analysts’ Top Healthcare Picks: Ultragenyx Pharmaceutical (RARE), Zevra Therapeutics (ZVRA)",https://www.theglobeandmail.com/investing/markets/stocks/ZVRA-Q/pressreleases/36838720/analysts-top-healthcare-picks-ultragenyx-pharmaceutical-rare-zevra-therapeutics-zvra/,"life_sciences, financial_markets, earnings",positive,0.6901,1.0
2026-01-01 00:09:10,The Business Journals,Barnwell Industries CFO of 40 years retires as company prepares to close Hawaii office,https://www.bizjournals.com/pacific/news/2025/12/31/barnwell-industries-close-hawaii-office-cfo-retire.html,real_estate,neutral,0.622,0.0
2026-01-01 00:09:11,StocksToTrade,Is Xeris Biopharma on the Verge of a Breakthrough?,https://stockstotrade.com/news/xeris-biopharma-holdings-inc-xers-news-2025_12_31/,"earnings, financial_markets, life_sciences",neutral,0.7323,0.0
2026-01-01 00:09:12,Investing.com,GH Research stock soars after IND update announcement,https://m.investing.com/news/stock-market-news/gh-research-stock-soars-after-ind-update-announcement-93CH-4428209?ampMode=1,"life_sciences, financial_markets",negative,0.5966,-1.0
2026-01-01 00:09:13,The Globe and Mail,DevvStream Shareholders Back Governance Measures at 2025 Meeting,https://www.theglobeandmail.com/investing/markets/stocks/DEVS-Q/pressreleases/36841255/devvstream-shareholders-back-governance-measures-at-2025-meeting/,"financial_markets, finance, earnings",neutral,0.9022,0.0
2026-01-01 00:09:13,The Globe and Mail,Recon Technology Calls February 2026 AGM to Expand Authorized Capital and Authorize Large Reverse Share Splits,https://www.theglobeandmail.com/investing/markets/stocks/RCON-Q/pressreleases/36846877/recon-technology-calls-february-2026-agm-to-expand-authorized-capital-and-authorize-large-reverse-share-splits/,"financial_markets, finance",positive,0.8904,1.0
2026-01-01 00:09:13,MarketBeat,"Chi-Hong Ju Sells 3,765 Shares of Ambarella (NASDAQ:AMBA) Stock",https://www.marketbeat.com/instant-alerts/chi-hong-ju-sells-3765-shares-of-ambarella-nasdaqamba-stock-2025-12-31/,"earnings, financial_markets, technology",neutral,0.9523,0.0
2026-02-01 00:00:00,Stock Traders Daily,Understanding Momentum Shifts in (AFRI),https://news.stocktradersdaily.com/news_release/16/Understanding_Momentum_Shifts_in_AFRI_020126120001_1769922001.html,financial_markets,positive,0.6001,1.0
2026-02-01 00:00:21,TechStock²,Analog Devices (ADI) stock slides into the weekend — what could move the share price next week,https://ts2.tech/en/analog-devices-adi-stock-slides-into-the-weekend-what-could-move-the-share-price-next-week/,"financial_markets, technology, earnings, economy_monetary, economy_macro",neutral,0.6651,0.0
2026-02-01 00:00:22,Sahm,"How Investors May Respond To Illinois Tool Works (ITW) EPS Outlook, Insider Buying and Trimmed Estimates",https://www.sahmcapital.com/news/content/how-investors-may-respond-to-illinois-tool-works-itw-eps-outlook-insider-buying-and-trimmed-estimates-2026-01-31,"earnings, financial_markets, manufacturing, finance",neutral,0.9323,0.0
2026-02-01 00:00:24,Sahm,A Look At KeyCorp (KEY) Valuation After Q4 Earnings Beat And Senior Notes Issuance,https://www.sahmcapital.com/news/content/a-look-at-keycorp-key-valuation-after-q4-earnings-beat-and-senior-notes-issuance-2026-01-31,"earnings, financial_markets, finance",neutral,0.9254,0.0
2026-02-01 00:00:27,Pensacola News Journal,"New to The Street Signs NeOnc Technologies Holdings, Inc. (NASDAQ: NTHI) to 12-Part National Broadcast Series Including T.V. Network Features, Earned Media, Commercials, and Iconic Outdoor Billboards",https://www.pnj.com/press-release/story/3587/new-to-the-street-signs-neonc-technologies-holdings-inc-nasdaq-nthi-to-12-part-national-broadcast-series-including-t-v-network-features-earned-media-commercials-and-iconic-outdoor-billboards/,"life_sciences, finance",neutral,0.8383,0.0
2026-02-01 00:00:40,Aktiencheck,Cabot's Strategic Pivot Fuels Cautious Optimism Among Investors (),https://www.aktiencheck.de/news/Artikel-Cabot_s_Strategic_Pivot_Fuels_Cautious_Optimism_Among_Investors-19423605,"earnings, financial_markets, manufacturing, economy_macro, energy_transportation",neutral,0.5206,0.0
2026-02-01 00:00:43,Sahm,Is Seagate (STX) Still Attractive After A 331% One Year Surge On AI Storage Hopes,https://www.sahmcapital.com/news/content/is-seagate-stx-still-attractive-after-a-331-one-year-surge-on-ai-storage-hopes-2026-01-31,"earnings, financial_markets, technology",positive,0.9495,1.0
2026-02-01 00:00:44,Sahm,This Insider Has Just Sold Shares In Teledyne Technologies,https://www.sahmcapital.com/news/content/this-insider-has-just-sold-shares-in-teledyne-technologies-2026-01-31,"financial_markets, finance",neutral,0.9465,0.0
2026-02-01 00:00:57,Intellectia AI,Travelzoo Unveils New Club Offers for Members,https://intellectia.ai/news/stock/travelzoo-unveils-new-club-offers-for-members,"earnings, financial_markets, finance, retail_wholesale",neutral,0.8706,0.0
2026-02-01 00:00:57,Stock Titan,South Pacific cruise and Italian foodie escape in new Travelzoo UK deals,https://www.stocktitan.net/news/TZOO/club-offers-for-travel-enthusiasts-in-the-iuzvs41cwp5t.html,"financial_markets, retail_wholesale, earnings",neutral,0.8887,0.0
2026-02-01 00:01:05,Sahm,AGNC Balances Strong Returns With More Cautious 2026 Investment Approach,https://www.sahmcapital.com/news/content/agnc-balances-strong-returns-with-more-cautious-2026-investment-approach-2026-01-31,"earnings, financial_markets, finance, economy_macro",positive,0.9027,1.0
2026-02-01 00:01:06,TechStock²,Advanced Micro Devices stock slips on MI450 delay chatter — what investors watch before earnings,https://ts2.tech/en/advanced-micro-devices-stock-slips-on-mi450-delay-chatter-what-investors-watch-before-earnings/,"earnings, technology, financial_markets, economy_macro",negative,0.8949,-1.0
2026-02-01 00:01:08,AD HOC NEWS,The Truth About Ciena Corp: Why Wall Street Suddenly Can’t Shut Up About CIEN,https://www.ad-hoc-news.de/boerse/ueberblick/the-truth-about-ciena-corp-why-wall-street-suddenly-can-t-shut-up-about/68539121,"technology, financial_markets, finance",neutral,0.7568,0.0
2026-02-01 00:01:13,Stock Traders Daily,Discipline and Rules-Based Execution in AGIO Response,https://news.stocktradersdaily.com/news_release/35/Discipline_and_Rules-Based_Execution_in_AGIO_Response_020126121601_1769922961.html,"financial_markets, life_sciences",neutral,0.9147,0.0
2026-02-01 00:01:22,Sahm,A Look At Dentsply Sirona (XRAY) Valuation After Recent Share Price Rebound,https://www.sahmcapital.com/news/content/a-look-at-dentsply-sirona-xray-valuation-after-recent-share-price-rebound-2026-01-31,"earnings, financial_markets, life_sciences",neutral,0.9333,0.0
2026-02-01 00:01:27,WISN,3 arrested after Wauwatosa retail theft at Home Depot,https://www.wisn.com/article/3-arrested-after-wauwatosa-retail-theft-at-home-depot/70209894,retail_wholesale,negative,0.8736,-1.0
2026-02-01 00:01:29,Intellectia AI,Pfizer Faces Patent Cliff Challenges Amid Turnaround Potential,https://intellectia.ai/news/stock/pfizer-faces-patent-cliff-challenges-amid-turnaround-potential,"earnings, life_sciences, financial_markets",negative,0.941,-1.0
2026-02-01 00:01:29,TipRanks,ConnectOne Bancorp Earnings Call Highlights Margin Momentum,https://www.tipranks.com/news/company-announcements/connectone-bancorp-earnings-call-highlights-margin-momentum,"earnings, finance, mergers_and_acquisitions, economy_monetary, economy_macro",neutral,0.5816,0.0
2026-02-01 00:01:34,The Globe and Mail,"Analysts Conflicted on These Materials Names: Hecla Mining Company (HL), Iluka Resources Limited (OtherILKAF) and Pilbara Minerals (OtherPILBF)",https://www.theglobeandmail.com/investing/markets/stocks/HL-N/pressreleases/37340204/analysts-conflicted-on-these-materials-names-hecla-mining-company-hl-iluka-resources-limited-otherilkaf-and-pilbara-minerals-otherpilbf/,"financial_markets, earnings",neutral,0.5087,0.0
2026-02-01 00:01:36,Lohud,"GameSquare to Present at the Sequire Investor Summit on January 20-22, 2026",https://www.lohud.com/press-release/story/128667/gamesquare-to-present-at-the-sequire-investor-summit-on-january-20-22-2026/,"finance, technology",neutral,0.9492,0.0
2026-02-01 00:01:37,MarketBeat,"Acadia Healthcare Company, Inc. (NASDAQ:ACHC) Receives Average Recommendation of ""Hold"" from Analysts",https://www.marketbeat.com/instant-alerts/acadia-healthcare-company-inc-nasdaqachc-receives-average-recommendation-of-hold-from-analysts-2026-01-31/,"earnings, life_sciences, finance, financial_markets",positive,0.9172,1.0
2026-02-01 00:01:40,Simply Wall Street,A Look At Amdocs (DOX) Valuation After Its Recent Dividend Increase,https://simplywall.st/stocks/us/software/nasdaq-dox/amdocs/news/a-look-at-amdocs-dox-valuation-after-its-recent-dividend-inc,"earnings, finance, financial_markets, technology",neutral,0.9315,0.0
2026-02-01 00:01:40,Sahm,A Look At ACADIA Pharmaceuticals (ACAD) Valuation After Recent Share Price Weakness,https://www.sahmcapital.com/news/content/a-look-at-acadia-pharmaceuticals-acad-valuation-after-recent-share-price-weakness-2026-01-31,"life_sciences, financial_markets, earnings",neutral,0.9312,0.0
2026-02-01 00:01:45,Sahm,The Returns On Capital At Weis Markets (NYSE:WMK) Don't Inspire Confidence,https://www.sahmcapital.com/news/content/the-returns-on-capital-at-weis-markets-nysewmk-dont-inspire-confidence-2026-01-31,"earnings, financial_markets, retail_wholesale, finance",neutral,0.8338,0.0
2026-02-01 00:01:47,Investing.com,Bank first director Sprang buys $21k in shares,https://www.investing.com/news/insider-trading-news/bank-first-director-sprang-buys-21k-in-shares-93CH-4477515,"finance, mergers_and_acquisitions, financial_markets",neutral,0.8833,0.0
2026-02-01 00:01:53,MarketBeat,"Methode Electronics, Inc. (NYSE:MEI) Short Interest Down 33.1% in January",https://www.marketbeat.com/instant-alerts/methode-electronics-inc-nysemei-short-interest-down-331-in-january-2026-01-31/,"earnings, financial_markets, manufacturing, finance",negative,0.9716,-1.0
2026-02-01 00:01:57,Yahoo Finance,Assessing Maximus (MMS) Valuation After Steady Share Price Momentum And Perceived Discount,https://finance.yahoo.com/news/assessing-maximus-mms-valuation-steady-230817583.html,"earnings, financial_markets, finance, economy_macro",positive,0.7037,1.0
2026-02-01 00:01:59,MarketBeat,Short Interest in First Trust Mid Cap Core AlphaDEX Fund (NASDAQ:FNX) Expands By 60.7%,https://www.marketbeat.com/instant-alerts/short-interest-in-first-trust-mid-cap-core-alphadex-fund-nasdaqfnx-expands-by-607-2026-01-31/,"financial_markets, finance",positive,0.9466,1.0
2026-02-01 00:02:07,TechStock²,Marvell stock price drops to $78.92 as tech jitters bite — what MRVL investors watch next week,https://ts2.tech/en/marvell-stock-price-drops-to-78-92-as-tech-jitters-bite-what-mrvl-investors-watch-next-week/,"earnings, mergers_and_acquisitions, financial_markets, economy_monetary, technology",negative,0.9557,-1.0
2026-02-01 00:03:06,TechStock²,Renesas stock price: Wolfspeed stake update lands days before Feb. 5 earnings,https://ts2.tech/en/renesas-stock-price-wolfspeed-stake-update-lands-days-before-feb-5-earnings/,"earnings, financial_markets, technology",neutral,0.9269,0.0
2026-02-01 00:10:00,Stock Traders Daily,How Ishares Core U.s. Aggregate Bond Etf (AGG) Affects Rotational Strategy Timing,https://news.stocktradersdaily.com/news_release/23/How_Ishares_Core_U.s._Aggregate_Bond_Etf_AGG_Affects_Rotational_Strategy_Timing_020126121001_1769922601.html,"financial_markets, economy_macro",neutral,0.9471,0.0
2026-02-01 00:20:39,TechStock²,Microchip (MCHP) stock slides into the weekend — here’s what traders watch before earnings,https://ts2.tech/en/microchip-mchp-stock-slides-into-the-weekend-heres-what-traders-watch-before-earnings/,"earnings, financial_markets, economy_monetary, technology",neutral,0.8739,0.0
2026-02-01 00:27:26,Sahm,Baker Hughes Taps Storage And Low Carbon Ammonia For Transition Upside,https://www.sahmcapital.com/news/content/baker-hughes-taps-storage-and-low-carbon-ammonia-for-transition-upside-2026-02-01,"energy_transportation, finance, technology, earnings",neutral,0.9101,0.0
2026-02-01 00:27:35,Nasdaq,"Beat the Market the Zacks Way: Five Below, Novo Nordisk, Ekso in Focus",https://www.nasdaq.com/articles/beat-market-zacks-way-five-below-novo-nordisk-ekso-focus,"financial_markets, earnings, retail_wholesale, life_sciences, economy_monetary",neutral,0.7968,0.0
2026-02-01 00:27:37,Morningstar,"Clarivate to Report Fourth Quarter and Full Year 2025 Results on February 24, 2026",https://www.morningstar.com/news/pr-newswire/20260128ny72569/clarivate-to-report-fourth-quarter-and-full-year-2025-results-on-february-24-2026,"earnings, finance",neutral,0.9429,0.0
2026-02-01 00:28:17,MarketBeat,"ANI Pharmaceuticals, Inc. (NASDAQ:ANIP) Given Consensus Rating of ""Moderate Buy"" by Brokerages",https://www.marketbeat.com/instant-alerts/ani-pharmaceuticals-inc-nasdaqanip-given-consensus-rating-of-moderate-buy-by-brokerages-2026-01-31/,"earnings, life_sciences, financial_markets",positive,0.7163,1.0
2026-02-01 00:28:21,TipRanks,Leveraged XRP Bets Lose Steam: ProShares Ultra XRP ETF Sees Near-1% AUM Redemption,https://www.tipranks.com/news/cryptocurrencies/leveraged-xrp-bets-lose-steam-proshares-ultra-xrp-etf-sees-near-1-aum-redemption,"blockchain, financial_markets, finance",negative,0.9679,-1.0
2026-02-01 00:28:31,The Globe and Mail,Borr Drilling Sets Date for Q4 2025 Earnings Release and Investor Call,https://www.theglobeandmail.com/investing/markets/markets-news/Tipranks/37339730/borr-drilling-sets-date-for-q4-2025-earnings-release-and-investor-call/,"earnings, financial_markets, energy_transportation, finance",neutral,0.9302,0.0
2026-02-01 00:28:33,MarketBeat,CVB Financial (NASDAQ:CVBF) Share Price Crosses Above Two Hundred Day Moving Average - Should You Sell?,https://www.marketbeat.com/instant-alerts/cvb-financial-nasdaqcvbf-share-price-crosses-above-two-hundred-day-moving-average-should-you-sell-2026-01-31/,"earnings, financial_markets, finance",neutral,0.7257,0.0
2026-02-01 00:28:36,Tallahassee Democrat,"Insider Buying: Bonk, Inc. Board Member Mitchell Rudy Acquires Stock to Close Q4",https://www.tallahassee.com/press-release/story/21260/insider-buying-bonk-inc-board-member-mitchell-rudy-acquires-stock-to-close-q4/,"blockchain, financial_markets, finance",neutral,0.9202,0.0
2026-02-01 00:28:39,The Fayetteville Observer,"Insider Buying: Bonk, Inc. Board Member Mitchell Rudy Acquires Stock to Close Q4",https://www.fayobserver.com/press-release/story/43880/insider-buying-bonk-inc-board-member-mitchell-rudy-acquires-stock-to-close-q4/,"financial_markets, blockchain, finance",neutral,0.9202,0.0
2026-02-01 00:28:46,Simply Wall Street,Assessing Fidelity National Financial (FNF) Valuation After Mixed Recent Share Performance,https://simplywall.st/stocks/us/insurance/nyse-fnf/fidelity-national-financial/news/assessing-fidelity-national-financial-fnf-valuation-after-mi,"earnings, financial_markets, finance, real_estate, economy_macro",positive,0.7108,1.0
