published_at,source,title,url,topics,finbert_label,finbert_score,sentiment_value,av_overall_sentiment,av_overall_score
2026-04-25 21:34:04,TechStock²,Altria Stock Faces a Crucial Earnings Test as Marlboro Maker’s Smoke-Free Bet Nears Judgment Day,https://ts2.tech/en/altria-stock-faces-a-crucial-earnings-test-as-marlboro-makers-smoke-free-bet-nears-judgment-day/,"earnings, financial_markets, finance, retail_wholesale, economy_fiscal",positive,0.8817,1.0,Somewhat-Bearish,-0.156213
2026-04-25 21:24:22,TechStock²,Cisco Systems’ Quantum Switch Push Puts Networking Giant in Race for the Next Internet,https://ts2.tech/en/cisco-systems-quantum-switch-push-puts-networking-giant-in-race-for-the-next-internet/,"technology, financial_markets, earnings, finance",neutral,0.525,0.0,Somewhat-Bullish,0.193518
2026-04-25 21:17:39,Simply Wall Street,Iridium Communications (IRDM) Is Down 6.9% After Reaffirming 2026 Outlook Despite Profit Squeeze,https://simplywall.st/stocks/us/telecom/nasdaq-irdm/iridium-communications/news/iridium-communications-irdm-is-down-69-after-reaffirming-202,"earnings, technology",negative,0.9747,-1.0,Somewhat-Bearish,-0.239984
2026-04-25 21:17:32,Simply Wall Street,Potential Patrick Industries LCI Merger And What It Means For Valuation,https://simplywall.st/stocks/us/automobiles/nasdaq-patk/patrick-industries/news/potential-patrick-industries-lci-merger-and-what-it-means-fo,"mergers_and_acquisitions, financial_markets, manufacturing",neutral,0.9266,0.0,Somewhat-Bullish,0.234942
2026-04-25 21:11:27,The Globe and Mail,Coterra Issues Supplemental Disclosures on Devon Merger Agreement,https://www.theglobeandmail.com/investing/markets/stocks/CTRA/pressreleases/1520251/coterra-issues-supplemental-disclosures-on-devon-merger-agreement/,"mergers_and_acquisitions, financial_markets, energy_transportation",neutral,0.9512,0.0,Somewhat-Bullish,0.236217
2026-04-25 21:07:21,ABC7 New York,"More than 200,000 '32 Degrees' heated socks from Costco recalled after reports of burn injuries",https://abc7ny.com/post/more-200000-32-degrees-heated-socks-costco-recalled-reports-burn-injuries/18959636/,retail_wholesale,negative,0.9353,-1.0,Bearish,-0.403882
2026-04-25 20:40:13,Stock Titan,BlackRock holds 8.2% of Century Co (NYSE: CENX) in amended 13G/A,https://www.stocktitan.net/sec-filings/CENX/schedule-13g-a-century-aluminum-co-amended-passive-investment-disclos-ce3a500a31a5.html,"financial_markets, finance",neutral,0.9483,0.0,Neutral,0.010102
2026-04-25 20:40:08,Stock Titan,[SCHEDULE 13G/A] VICOR CORP Amended Passive Investment Disclosure,https://www.stocktitan.net/sec-filings/VICR/schedule-13g-a-vicor-corp-amended-passive-investment-disclosure-a0920b05d944.html,finance,neutral,0.9291,0.0,Neutral,0.010056
2026-04-25 20:39:40,Stock Titan,"[SCHEDULE 13G/A] Alignment Healthcare, Inc. Amended Passive Investment Disclosure",https://www.stocktitan.net/sec-filings/ALHC/schedule-13g-a-alignment-healthcare-inc-amended-passive-investment-di-97fba7d0160b.html,"finance, life_sciences",neutral,0.9395,0.0,Neutral,0.048911
2026-04-25 20:39:33,Stock Titan,BlackRock reports 11.4% stake in StoneCo Ltd. (NASDAQ: STNE) via Schedule 13G/A,https://www.stocktitan.net/sec-filings/STNE/schedule-13g-a-stone-co-ltd-amended-passive-investment-disclosure-e72253d658cf.html,financial_markets,neutral,0.9513,0.0,Neutral,0.049378
2026-04-25 20:39:26,TradingView,"Joby Aviation, Inc. Trade Ideas — SWB:8TQ",https://www.tradingview.com/symbols/SWB-8TQ/ideas/page-3/,"financial_markets, energy_transportation, technology",neutral,0.9354,0.0,Bullish,0.389087
2026-04-25 20:38:59,TradingView,"Net current asset value per share of Loop Industries, Inc. – MUN:3L9",https://www.tradingview.com/symbols/MUN-3L9/financials-statistics-and-ratios/ncavps-ratio/,"financial_markets, finance",neutral,0.9433,0.0,Neutral,0.003034
2026-04-25 20:38:41,Simply Wall Street,United Rentals (URI) Is Up 22.4% After Raising 2026 Revenue Guidance And Posting Record Q1 Results,https://simplywall.st/stocks/us/capital-goods/nyse-uri/united-rentals/news/united-rentals-uri-is-up-224-after-raising-2026-revenue-guid/amp,"earnings, financial_markets, real_estate",positive,0.9542,1.0,Bullish,0.607722
2026-04-25 20:37:24,Simply Wall Street,Coterra Energy Delivers Strong Q3 2025 Production Growth and Expanding Free Cash Flow Amid Disciplined Capital Allocationaaa,https://simplywall.st/community/narratives/us/energy/nyse-ctra/coterra-energy/wv4bumx0-coterra-energy-inc-delivers-strong-fy-2025-earnings-growth-driven-by-commodity-strength-and-strategic-acquisitions/updates/2-executive-summary-analyst-qudus-adebara-founder-of-wane-in,"earnings, energy_transportation",positive,0.9538,1.0,Bullish,0.40495
2026-04-25 20:37:11,Citeline News & Insights,"Expanding Direct-To-Patient Options, BMS/Pfizer Add Eliquis To Cost Plus Drugs Portal",https://insights.citeline.com/scrip/drug-pricing/expanding-direct-to-patient-options-bmspfizer-add-eliquis-to-cost-plus-drugs-portal-N5J7VR5YXNHJFHE7N232VBY56E/,life_sciences,positive,0.8239,1.0,Somewhat-Bullish,0.338151
2026-04-25 20:31:43,TechStock²,Intuit Stock Rebounds After AI Selloff as TurboTax Owner Nears Earnings Test,https://ts2.tech/en/intuit-stock-rebounds-after-ai-selloff-as-turbotax-owner-nears-earnings-test/,"earnings, technology, financial_markets",negative,0.9229,-1.0,Neutral,0.009047
2026-04-25 20:19:09,Simply Wall Street,Assessing Public Storage (NYSE:PSA) Valuation After Its Recent Share Price Momentum,https://simplywall.st/stocks/us/real-estate/nyse-psa/public-storage/news/assessing-public-storage-nysepsa-valuation-after-its-recent,"financial_markets, real_estate, finance",neutral,0.8084,0.0,Somewhat-Bullish,0.178329
2026-04-25 20:19:05,Simply Wall Street,Will Softer Q1 2026 Expectations and Leasing Caution Change Alexandria Real Estate Equities' (ARE) Narrative?,https://simplywall.st/stocks/us/real-estate/nyse-are/alexandria-real-estate-equities/news/will-softer-q1-2026-expectations-and-leasing-caution-change,"earnings, real_estate, life_sciences, financial_markets, finance",neutral,0.5009,0.0,Neutral,0.086958
2026-04-25 20:18:58,Simply Wall Street,The Bull Case For Immunome (IMNM) Could Change Following Varegacestat’s ASCO 2026 Spotlight And NDA Timeline – Learn Why,https://simplywall.st/stocks/us/pharmaceuticals-biotech/nasdaq-imnm/immunome/news/the-bull-case-for-immunome-imnm-could-change-following-vareg,"life_sciences, financial_markets",neutral,0.9127,0.0,Somewhat-Bullish,0.331515
2026-04-25 20:18:30,Simply Wall Street,United Rentals (URI) Is Up 22.4% After Raising 2026 Revenue Guidance And Posting Record Q1 Results,https://simplywall.st/stocks/us/capital-goods/nyse-uri/united-rentals/news/united-rentals-uri-is-up-224-after-raising-2026-revenue-guid,"earnings, real_estate",positive,0.9542,1.0,Somewhat-Bullish,0.263291
2026-04-25 20:18:28,TechStock²,Why Eaton Corporation plc Stock Is Sitting Near Highs Before a Big AI Power Test,https://ts2.tech/en/why-eaton-corporation-plc-stock-is-sitting-near-highs-before-a-big-ai-power-test/,"earnings, technology, financial_markets, manufacturing",neutral,0.8368,0.0,Neutral,0.041941
2026-04-25 20:18:27,Simply Wall Street,Did Equinix’s (EQIX) SpinLaunch Deal and AI-Native Fabric Just Redefine Its Core Narrative?,https://simplywall.st/stocks/us/real-estate/nasdaq-eqix/equinix/news/did-equinixs-eqix-spinlaunch-deal-and-ai-native-fabric-just,"technology, earnings, financial_markets",neutral,0.9105,0.0,Somewhat-Bullish,0.157118
2026-04-25 20:18:11,Travel And Tour World,Hero of the Seas Cruise Ship: Royal Caribbean’s Next-Generation Floating City Set to Redefine Caribbean Travel in 2027,https://www.travelandtourworld.com/news/article/hero-of-the-seas-cruise-ship-royal-caribbeans-next-generation-floating-city-set-to-redefine-caribbean-travel-in-2027/,energy_transportation,neutral,0.8275,0.0,Bullish,0.43048
2026-04-25 20:13:19,Simply Wall Street,Coterra Energy Inc. Delivers Strong FY 2025 Earnings Growth Driven by Commodity Strength and Strategic Acquisitions,https://simplywall.st/community/narratives/us/energy/nyse-ctra/coterra-energy/wv4bumx0-coterra-energy-inc-delivers-strong-fy-2025-earnings-growth-driven-by-commodity-strength-and-strategic-acquisitions,"earnings, energy_transportation, mergers_and_acquisitions, financial_markets",positive,0.9505,1.0,Bullish,0.402323
2026-04-25 20:10:13,TradingView,Tangible book value per share of Nusatrip Incorporated – NASDAQ:NUTR,https://www.tradingview.com/symbols/NASDAQ-NUTR/financials-statistics-and-ratios/book-tangible-per-share/,"finance, financial_markets",neutral,0.9295,0.0,Neutral,0.021972
2026-04-25 20:10:12,Stock Titan,Ultra Clean (NASDAQ: UCTT) extends $250M revolving credit line to 2031,https://www.stocktitan.net/sec-filings/UCTT/8-k-ultra-clean-holdings-inc-reports-material-event-70eedeea7148.html,"finance, earnings",positive,0.8201,1.0,Neutral,0.023959
2026-04-25 20:10:04,StockInvest.us,"Historical GGN stock prices (quote) - GAMCO Global Gold, Natural Resources & Income Trust",https://stockinvest.us/stock-price/GGN,financial_markets,neutral,0.9489,0.0,Neutral,0.104401
2026-04-25 20:09:59,Simply Wall Street,How Investors Are Reacting To National Fuel Gas (NFG) Rising Analyst Optimism On Near-Term Earnings Potential,https://simplywall.st/stocks/us/utilities/nyse-nfg/national-fuel-gas/news/how-investors-are-reacting-to-national-fuel-gas-nfg-rising-a,"earnings, financial_markets, energy_transportation, finance",positive,0.8867,1.0,Somewhat-Bullish,0.310341
2026-04-25 20:09:46,Stock Titan,BlackRock (ASTE) files 13G/A showing 14.5% stake in Astec Industries (ASTE),https://www.stocktitan.net/sec-filings/ASTE/schedule-13g-a-astec-industries-inc-amended-passive-investment-disclo-790d4869f9d9.html,"financial_markets, finance",neutral,0.9279,0.0,Neutral,0.025353
2026-04-25 20:09:42,MSN,Chinese EV Seller Jiuzi Draws Significant Retail Buzz With $1B Bitcoin Plan,https://www.msn.com/en-us/money/other/chinese-ev-seller-jiuzi-draws-significant-retail-buzz-with-1b-bitcoin-plan/ar-AA1PyO5d?ocid=finance-verthp-feeds&apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1&bundles=feat-es2020-t,"blockchain, retail_wholesale",positive,0.9122,1.0,Bullish,0.427481
2026-04-25 20:09:41,Simply Wall Street,Is Korn Ferry (KFY) Still Attractive After Doubling Its Estimated Intrinsic Value Per Share,https://simplywall.st/stocks/us/commercial-services/nyse-kfy/korn-ferry/news/is-korn-ferry-kfy-still-attractive-after-doubling-its-estima,"earnings, financial_markets, finance",positive,0.9549,1.0,Somewhat-Bullish,0.331836
2026-04-25 20:08:57,MSN,Mairs & Power Minnesota Municipal Bond ETF declares monthly distribution of $0.0586,https://www.msn.com/en-us/money/realestate/mairs-power-minnesota-municipal-bond-etf-declares-monthly-distribution-of-00586/ar-AA1Ne8ff?apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1,"earnings, financial_markets, finance",neutral,0.9016,0.0,Bullish,0.397809
2026-04-25 20:08:17,Markets Mojo,"Masco Corp. Opens with a Gain of 10.84%, Outperforming S&P 500's 1.05% Rise",https://www.marketsmojo.com/news/stocks-in-action/masco-corp-opens-with-a-gain-of-1084-outperforming-sp-500s-105-rise-3959688,"earnings, financial_markets, economy_macro, manufacturing",positive,0.9481,1.0,Somewhat-Bearish,-0.234337
2026-04-25 20:07:08,Simply Wall Street,Will Softer Q1 2026 Expectations and Leasing Caution Change Alexandria Real Estate Equities' (ARE) Narrative?,https://simplywall.st/stocks/us/real-estate/nyse-are/alexandria-real-estate-equities/news/will-softer-q1-2026-expectations-and-leasing-caution-change/amp,"earnings, real_estate, finance, life_sciences, financial_markets",neutral,0.5009,0.0,Somewhat-Bearish,-0.256662
2026-04-25 20:06:59,MSN,AIG stock drops 9% YTD: Should investors buy before the bounce?,http://www.msn.com/en-us/money/topstocks/aig-stock-drops-9-ytd-should-investors-buy-before-the-bounce/ar-AA20SkjX?apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1&bundles=feat-es2020-c,"financial_markets, finance",negative,0.7776,-1.0,Somewhat-Bearish,-0.213344
2026-04-25 19:57:41,TradingView,ACQMXXX Stock Price and Chart — NASDAQ:ACQMXXX,https://www.tradingview.com/symbols/NASDAQ-ACQMXXX/,financial_markets,neutral,0.9441,0.0,Neutral,0.034685
2026-04-25 19:43:17,The Globe and Mail,The Best Gold ETF to Invest $500 in Right Now,https://www.theglobeandmail.com/investing/markets/stocks/NVDA-Q/pressreleases/1519947/the-best-gold-etf-to-invest-500-in-right-now/,"financial_markets, economy_monetary, finance, economy_macro",neutral,0.8694,0.0,Bullish,0.453877
2026-04-25 19:39:56,Seeking Alpha,"Key deals this week: Helix Energy, Tesla, QXO, USA Rare Earth and more (LLY:NYSE)",https://seekingalpha.com/news/4579260-key-deals-this-week-helix-energy-tesla-qxo-usa-rare-earth-and-more,"mergers_and_acquisitions, financial_markets, energy_transportation, life_sciences, technology",neutral,0.9427,0.0,Somewhat-Bullish,0.166441
2026-04-25 19:39:25,TradingView,"Tangible book value per share of MongoDB, Inc. Class A – BMV:MDB",https://www.tradingview.com/symbols/BMV-MDB/financials-statistics-and-ratios/book-tangible-per-share/,"financial_markets, finance, technology",neutral,0.9377,0.0,Neutral,0.011408
